2.000000000000000000e+00 1.995233915686376804e+03 6.541461510220462905e-02 3.928438666552833830e-02 3.947883669706487186e+00
3.000000000000000000e+00 1.694168423295873936e+03 9.307827537761563519e-02 4.226131550495840911e-02 3.270260352078350863e+00
4.000000000000000000e+00 1.566495416302659578e+03 9.776247330953631576e-02 3.910260722525816385e-02 2.911945320696897710e+00
5.000000000000000000e+00 1.488291752511302548e+03 8.281956519061363375e-02 3.250555728194475663e-02 2.516980549400258838e+00
6.000000000000000000e+00 1.436582794759977560e+03 5.940773703617562712e-02 2.490599719287805991e-02 2.100259080347624874e+00
7.000000000000000000e+00 1.402291004900449934e+03 3.762564450885148154e-02 1.797386644454650531e-02 1.696606969594146364e+00
8.000000000000000000e+00 1.379363562244120658e+03 2.261520038883984424e-02 1.253457816436798038e-02 1.339885620599444715e+00
9.000000000000000000e+00 1.364696804534926741e+03 1.470612901072580747e-02 8.779217276440588053e-03 1.039233811387026307e+00
1.000000000000000000e+01 1.356117742260779778e+03 1.162031177398439689e-02 6.535756936042256063e-03 8.166561386871763473e-01
1.100000000000000000e+01 1.351194595138218347e+03 1.077162220068961923e-02 5.476522110688651981e-03 6.658862577161437368e-01
1.200000000000000000e+01 1.349457319201407699e+03 1.057464045923670048e-02 5.264275522560589102e-03 5.855246583582839337e-01
1.300000000000000000e+01 1.349099660471025800e+03 1.048674488571264482e-02 5.594767303929753383e-03 5.652302831391595728e-01
1.400000000000000000e+01 1.350620656429192422e+03 1.067137620034762716e-02 6.253100818927557862e-03 5.708098321078721726e-01
1.500000000000000000e+01 1.353584114064847199e+03 1.130632875427323852e-02 7.093331038429567283e-03 5.920405022301842290e-01
1.600000000000000000e+01 1.359110118768700659e+03 1.236859921890684846e-02 8.031310876356306805e-03 6.207293424031107287e-01
1.700000000000000000e+01 1.366413850425537930e+03 1.367766776322035249e-02 9.028118841841719505e-03 6.461346711453892500e-01
1.800000000000000000e+01 1.373919190837791575e+03 1.506104370943662021e-02 1.005849175556296216e-02 6.611480421172413191e-01
1.900000000000000000e+01 1.382375646281201625e+03 1.650434872300497735e-02 1.111744963894719523e-02 6.675953078184809764e-01
2.000000000000000000e+01 1.390268425574224239e+03 1.803218097209524987e-02 1.220476049693882195e-02 6.607259650887918889e-01
2.100000000000000000e+01 1.398390372743625676e+03 1.974736646903980930e-02 1.331890106780118412e-02 6.474672494667365052e-01
2.200000000000000000e+01 1.406845536385576452e+03 2.175795053946800658e-02 1.445796703521463542e-02 6.315590980861920389e-01
2.300000000000000000e+01 1.415243583569305429e+03 2.404234264175185085e-02 1.561982113120855345e-02 6.158401010051683944e-01
